id,answers,answers2,answers3
491,You can not be a doctor just because you are trustworthy.,To be a doctor one must go to school for several years and earn a P.H.D and not only obtain the faith and trust of parents.,you can be a doctor without having peoples trust
1625,People use mouth to eat and eyes to see,You can use your eyes to see.,You can't eat through your eyes.
92,Usually people use a bed to sleep,Beds are for sleeping and it is too hard to eat a meal in them.," people eat meals at a table, not a bed."
1239,Global warming is the process of raising the temperature,Global warming makes the temperature high and not low.,this is the exact opposite
363,Dirt cannot cure or protect the wound.,One should put ointment on the scrap and not dirt.,dirt will cause infection
1991,People can not eat an entire zebra.,Zebra is a wild animal and cannot be eaten .,A whole zebra does not fit into a person's stomach
588,animals don't go to school,School is where people go to learn.,Animals don't go to school.
737,People don't need tickets to enter a supermarket.,Can't buy tickets for the supermarket.,the supermarket does not sell tickets
1019,a chair is bigger than a basket,Chair cannot be put in the basket.,Chairs are too big to fit on baskets
1390,Zookeeper is the one who is responsible for the animals at the zoo.,The hospital does not have animals,Zookeeper  feeds the animals in a zoo and dosent work in the hospital.
1514,"Dubai is a city, but Asia is a continent.",An entire continent can not be part of a city.,Asia is a continent so it is bigger than Dubai
1222,"Without eyes,  you cannot see the words of a book and then read it.",You need eyes to read a book.,Vision is required for reading a book.
178,Football is never played in outer space.,"People can't breath in outer space, and there is no gravity there, so it's impossible to play football there.",people cannot live in outer space
50,A plane can never be seen in garden,Planes are not grown in a garden.,flowers grow in the dirt
1770,peace is after a solution is finalized after war,There is never peace during war.,during war we gain pain
1204,Cars do not attend church services,A church is for human beings only not for a car,Cars do not have a religion.
347,A notebook isn't worn.,A notebook isn't an article of clothing and can't be worn.,One  can wear pants and not notebook.
1326,The car cant fit one hundred people,Maximum capacity to enter in the car is four,One hundred people cannot enter in the car.
1878,liking playing is the nature of children,Children love having time to play,Playtime is designed for children to enjoy themselves
1482,forks will do a differ to the flavor of food,"Heating food makes the food taste better, it has nothing to do with being balanced on a fork.",Balancing food has got nothing to do with heating but skill.
1339,The Sun is too hot to run on.,"It is impossible to run on the sun, it's to hot even to get closer.",The sun is too far away and too hot to run on.
883,many films are imaginary,Some films are based on fiction.,A lot of actors and actresses star in films
1656,CORVETTES ARE TOO BIG TO BE STOLE,Corvettes are carefully guarded.,Corvettes are not blue.
1301,A motorcycle is bigger than a wallet,wallets are too small,One can put a coin the wallet but not motorcycle.
1839,People is usually much. Larger than a book,A human is larger than a book and so could not successfully hide behind one,A person is too big to hide behind a book.
35,Pigs are mammals,Pigs are mammals who give birth to baby piglets,Pigs give birth to live baby pigs.
1933,A shark is much bigger than the fridge.,Sharks are too big.,Fridge cannot accommodate a shark.
922,ham meat cut from the thigh of a hog,Ham is made from a pig and not cat.,Ham is made from a pig.
370,A RESTAURANT DOES NOT HAVE DOCTORS OR MEDICAL EQUIPMENTS,Restaurant don't provide medical services.,if you are hurt then you need to go to a hospital for treament after an accident
969,no plants can glow in the world,Plants do not cover sugar to light.,Plants are not sources of light
256,London being a city will not move.,"London is a country, and it cant go in a bus.",London is a place so cannot go in a bus.
379,Coffee beans are solid,Coffee beans are solid so you cannot drink them,Coffee beans cannot be drunk as they are not liquid.
1706,A blind man can have senses but a dead man is not living,A dead man has no senses but a blind man's senses are accentuated with the loss of sight,A dead man can no longer sense.
646,a Hospital is for sick people,Hospital where the place whre the patients used to visit the doctor. We are  going to hospital to treat our health problems,You can use hotel to sleep while a way from home.
273,A rainbow occurs in the sky,A rainbow can appear on the sky and not ground.,Rainbow appears after rain
424,a mouse can't eat a snake,mice dont eat snakes,The mouse is much smaller than the snake
210,There are no washers and dryers at the library.,the library does have have a washer and dryer,libraries do not have laundry facilities in them.
1781,A car is bigger than a sink.,A car wouldn't fit in the sink.,Cars cannot fit in a sink.
1549,nobody eats mobile phones,Mobile phones cannot be ingested by humans.,mobile phones cannot be eaten
447,Fruit doesn't any animals to live,they are fine without us,"Fruit can, will, and has survived without people."
1940,Blind people can't see.,The blind girl cannot see the red car.,Blind people are unable to see.
1417,A scholar in practices is one of the people that receive the less money in the pyramid,A scholar doesn't make nearly their deserved worth.,Not all scholars are well-payed.
40,Usually humans live in a house,Birds live in nests,birds are wild hence cannot live in a house
124,Fish only live in the water.,A fish lives in the water only,Fishes don't live in the sky.
265,Racists don't hate themselves.,You can not speak for everyone,Not everyone hates racists.
872,smoking does nothing good for our health,Cigarettes and other smoking materials contain toxins which damage our bodies.,Smoking will damage your health.
1934,Medicine is a difficult course and study is needed,Doctors do have to study a lot to become a doctor.,Medical degrees require years of education and lots of exams and assessments
1966,television is not an emotion,Television is source for entertainment.,Television is an object rather than a verb.
